iter	RMSE
170	11.74474118
171	11.625452
172	11.51807181
173	11.41070463
174	11.28822941
175	11.19998369
176	11.10857647
177	11.08889202
178	11.02093856
179	10.93202316
180	10.8237829
181	10.70034448
182	10.60860495
183	10.56083159
184	10.46343541
185	10.38049979
186	10.30838568
187	10.21455319
188	10.1346487
189	10.04168292
190	9.943781407
191	9.910859602
192	9.811477451
193	9.763276847
194	9.692295912
195	9.613914479
196	9.52827471
197	9.465878149
198	9.448420735
199	9.368734724
200	9.289130868
201	9.202558438
202	9.133561135
203	9.055937224
204	9.031426359
205	8.95575347
206	8.886454456
207	8.860157787
208	8.761619429
209	8.71790849
210	8.705863518
211	8.665182819
212	8.578774039
213	8.525065236
214	8.464062699
215	8.381760437
216	8.353251629
217	8.274889613
218	8.238118039
219	8.156149574
220	8.13583857
221	8.078462962
222	8.01029839
223	7.95589615
224	7.948901534
225	7.873388622
226	7.866684508
227	7.801727269
228	7.722560279
229	7.66337978
230	7.612237478
231	7.547971516
232	7.48778587
233	7.43195405
234	7.386533522
235	7.348807194
236	7.292214896
237	7.249502844
238	7.191390845
239	7.115822646
240	7.07316515
241	7.034965216
242	6.970482776
243	6.922048239
244	6.897267504
245	6.855886774
246	6.827864949
247	6.796322443
248	6.784102971
249	6.732578726
250	6.727533551
251	6.674609485
252	6.617942263
253	6.605864792
254	6.563394191
255	6.528277714
256	6.517707747
257	6.481877059
258	6.428793552
259	6.417247054
260	6.366628861
261	6.342694653
262	6.309755069
263	6.280091574
264	6.234653597
265	6.201359293
266	6.148493143
267	6.142952995
268	6.113059434
269	6.10098194
270	6.092009851
271	6.047926052
272	6.005464918
273	5.968528147
274	5.943406008
275	5.908142569
276	5.864310199
277	5.822878923
278	5.799830431
279	5.780374244
280	5.751612901
281	5.745818399
282	5.701408162
283	5.671706843
284	5.627852343
285	5.601992562
286	5.575217512
287	5.532191955
288	5.526613503
289	5.482439686
290	5.451050436
291	5.446572808
292	5.401085175
293	5.360818936
294	5.323389088
295	5.289275456
296	5.27120274
297	5.228323412
298	5.223964611
299	5.210016462
300	5.178593425
301	5.13577015
302	5.133052846
303	5.103711923
304	5.074488767
305	5.058479293
306	5.035354377
307	4.998573026
308	4.967163471
309	4.92998738
310	4.91586976
311	4.897715964
312	4.857743385
313	4.8187708
314	4.78628742
315	4.758794973
316	4.727908292
317	4.6874377
318	4.654858034
319	4.620006128
320	4.616195364
321	4.591157295
322	4.558311663
323	4.536476054
324	4.520495584
325	4.489241922
326	4.479333779
327	4.464299608
328	4.440245056
329	4.412486137
330	4.407834801
331	4.40374662
332	4.37799777
333	4.34233048
334	4.311516714
335	4.281776408
336	4.2518314
337	4.22337421
338	4.194697314
339	4.17226585
340	4.155325488
341	4.126487146
342	4.099000866
343	4.08731887
344	4.068161168
345	4.066413943
346	4.040401974
347	4.010304852
348	3.984064539
349	3.960740076
350	3.950072161
351	3.930484101
352	3.907926703
353	3.882164193
354	3.869981557
355	3.846275288
356	3.812311688
357	3.773877519
358	3.76196148
359	3.744452593
360	3.726309105
361	3.700028876
362	3.679827604
363	3.657624836
364	3.63061614
365	3.620701897
366	3.598693598
367	3.580456101
368	3.561836499
369	3.53955923
370	3.52422166
371	3.507200567
372	3.494303199
373	3.481217991
374	3.467549757
375	3.445050662
376	3.429369525
377	3.398694734
378	3.386169436
379	3.368146363
380	3.352036998
381	3.332885616
382	3.318252134
383	3.307304364
384	3.294184644
385	3.276353706
386	3.262599127
387	3.246066251
388	3.233659767
389	3.214274707
390	3.199407671
391	3.187189899
392	3.180259278
393	3.167223512
394	3.153137012
395	3.140551991
396	3.137673868
397	3.130491608
398	3.115914007
399	3.100169934
400	3.089481116
401	3.082810097
402	3.073889938
403	3.064330319
404	3.049577295
405	3.041336568
406	3.028156401
407	3.015977119
408	3.012941851
409	2.992163543
410	2.975913358
411	2.952275
412	2.94259986
413	2.93132415
414	2.920710113
415	2.91727993
416	2.893034207
417	2.876119214
418	2.871568177
419	2.853723428
420	2.837444957
421	2.828666833
422	2.820787999
423	2.805783016
424	2.79548532
425	2.775541239
426	2.763020331
427	2.749583005
428	2.740367171
429	2.731598835
430	2.714909339
431	2.70031505
432	2.69186429
433	2.680135408
434	2.6664956
435	2.660557563
436	2.647581722
437	2.629492206
438	2.623343679
439	2.611015877
440	2.608625063
441	2.596791538
442	2.588317301
443	2.577164636
444	2.564677891
445	2.553720669
446	2.542422281
447	2.540440526
448	2.530451327
449	2.519613143
450	2.515416217
451	2.501765082
452	2.491349018
453	2.479954949
454	2.471862896
455	2.455957478
456	2.453720905
457	2.440420591
458	2.430652466
459	2.4296568
460	2.428320802
461	2.42563445
462	2.41175446
463	2.402850453
464	2.389626118
465	2.373382985
466	2.362737618
467	2.35157234
468	2.34442629
469	2.334736126
470	2.332870673
471	2.32299309
472	2.314863811
473	2.309714702
474	2.301393108
475	2.296696213
476	2.288795434
477	2.279935943
478	2.276376188
479	2.27134573
480	2.26413348
481	2.259325261
482	2.257744294
483	2.250466608
484	2.238211267
485	2.225467169
486	2.218036495
487	2.212671032
488	2.200021306
489	2.187262969
490	2.180126813
491	2.170497504
492	2.169429918
493	2.165461548
494	2.152718708
495	2.134955614
496	2.121430943
497	2.117370301
498	2.107852308
499	2.106744121
500	2.094185789
501	2.081405418
502	2.076291496
503	2.059998261
504	2.058877047
505	2.048443904
506	2.044391639
507	2.031156118
508	2.030017274
509	2.022709762
510	2.019280835
511	2.012354557
512	2.004978912
513	1.994933358
514	1.981125079
515	1.971992521
516	1.965769972
517	1.957165843
518	1.954692438
519	1.944465172
520	1.932350761
521	1.92338864
522	1.913896341
523	1.908503919
524	1.894422903
525	1.887723468
526	1.875303585
527	1.8650188
528	1.852494272
529	1.840455271
530	1.833270155
531	1.819911191
532	1.814130113
533	1.804501233
534	1.795871537
535	1.788008793
536	1.775724862
537	1.775091162
538	1.768294155
539	1.763929405
540	1.762270307
541	1.75702956
542	1.747863763
543	1.744473029
544	1.732997698
545	1.731749516
546	1.72635762
547	1.720677917
548	1.718376896
549	1.716355373
550	1.714211833
551	1.710875941
552	1.704025961
553	1.700448009
554	1.696832033
555	1.688807326
556	1.681626286
557	1.680979709
558	1.679008964
559	1.677786571
560	1.671759417
561	1.665935341
562	1.65989358
563	1.654109324
564	1.646049565
565	1.64041734
566	1.63238452
567	1.631249934
568	1.623865745
569	1.615461003
570	1.610600815
571	1.601850092
572	1.592557177
573	1.589118989
574	1.583112962
575	1.57554804
576	1.568967703
577	1.566123006
578	1.563190978
579	1.555940027
580	1.551334148
581	1.544434612
582	1.537650051
583	1.533460865
584	1.525300737
585	1.51904343
586	1.513467933
587	1.511418015
588	1.503436565
589	1.502299203
590	1.491564472
591	1.49093899
592	1.48762675
593	1.48171295
594	1.472744903
595	1.462658997
596	1.457679091
597	1.449887845
598	1.43942836
599	1.433625111
