iter	RMSE
0	161.5280168
1	156.4710432
2	151.7374544
3	146.8016413
4	142.3172443
5	137.904866
6	133.9851146
7	130.1263728
8	126.8460124
9	122.9249673
10	119.2107038
11	116.3476956
12	113.2751104
13	110.1940844
14	107.2876168
15	104.0131025
16	101.1188846
17	98.56952916
18	96.37250363
19	94.20090491
20	91.77966541
21	89.34934194
22	87.31744726
23	85.13138107
24	83.00934797
25	80.95659155
26	78.95531255
27	76.92973016
28	75.45832336
29	73.81594165
30	72.19246582
31	70.90325561
32	69.54316685
33	67.98476769
34	66.48026005
35	64.81164055
36	63.24715047
37	61.89558626
38	60.67251341
39	59.67042505
40	58.73916622
41	57.3924846
42	56.18585568
43	55.24886035
44	54.15668755
45	53.08271322
46	52.21249883
47	51.25176614
48	50.34101102
49	49.53548926
50	48.73644738
51	47.91181851
52	47.24060321
53	46.57650217
54	45.91729758
55	45.29852324
56	44.58112388
57	43.74042198
58	43.20933606
59	42.5831189
60	41.98505148
61	41.3954498
62	40.91758603
63	40.24589947
64	39.63981504
65	39.12698109
66	38.45623094
67	37.88470103
68	37.42274917
69	36.92236636
70	36.30595796
71	35.64569207
72	35.27823649
73	34.69558665
74	34.21218962
75	33.68186161
76	33.2500969
77	32.72773994
78	32.32195975
79	31.91199876
80	31.54972472
81	31.00043981
82	30.58735294
83	30.16943798
84	29.83034814
85	29.41242557
86	29.01612952
87	28.57278269
88	28.26259961
89	27.84857333
90	27.57118508
91	27.39174353
92	27.0132169
93	26.66856643
94	26.27823902
95	25.99979097
96	25.69271901
97	25.33423562
98	25.13663741
99	24.87372466
100	24.58429013
101	24.31440279
102	24.00566164
103	23.69816355
104	23.37970154
105	23.14665517
106	22.93579692
107	22.75248747
108	22.50102126
109	22.24351745
110	22.01731243
111	21.77543559
112	21.51121025
113	21.2996868
114	20.97752371
115	20.7769222
116	20.49930242
117	20.30906955
118	20.00871662
119	19.78052409
120	19.59274408
121	19.27955001
122	19.02468529
123	18.81336334
124	18.53695078
125	18.38179512
126	18.22775711
127	18.01445665
128	17.89005409
129	17.69939396
130	17.60363696
131	17.47864765
132	17.31497224
133	17.1172455
134	16.91907449
135	16.73096752
136	16.5746622
137	16.38232587
138	16.20494171
139	16.01856899
140	15.85212144
141	15.66927106
142	15.52799381
143	15.48005852
144	15.30271512
145	15.10963459
146	14.95617094
147	14.8016783
148	14.61550859
149	14.4533606
150	14.28220064
151	14.14802029
152	13.96672291
153	13.81179228
154	13.66876793
155	13.54437889
156	13.42365325
157	13.28819139
158	13.25402139
159	13.13032623
160	13.02858552
161	12.91372122
162	12.80086909
163	12.64367917
164	12.49989417
165	12.37035653
166	12.25225414
167	12.12784863
168	12.00132186
169	11.86582628
