field_name	field_location	data_type	units	field_description	allowable_enumeration
in.ejscreen_census_tract_percentile_for_less_than_hs_educ	metadata	float		Percentile for % less than high school in building's census tract. See EPA EJSCREEN documentation for details.	""
in.ejscreen_census_tract_percentile_for_low_income	metadata	float		Percentile for % low-income in building's census tract. See EPA EJSCREEN documentation for details.	""
in.ejscreen_census_tract_percentile_for_people_in_ling_isol	metadata	float		Percentile for % of individuals in linguistic isolation in building's census tract. See EPA EJSCREEN documentation for details.	""
in.ejscreen_census_tract_percentile_for_people_of_color	metadata	float		Percentile for % people of color in building's census tract. See EPA EJSCREEN documentation for details.	""
in.ejscreen_census_tract_percentile_for_people_over_64	metadata	float		Percentile for % over age 64 in building's census tract. See EPA EJSCREEN documentation for details.	""
in.ejscreen_census_tract_percentile_percent_people_under_5	metadata	float		Percentile for % under age 5 in building's census tract. See EPA EJSCREEN documentation for details.	""
in.energy_code_followed_during_last_ext_lighting_replacement	metadata	string		Specifies the energy code used to determine exterior lighting power and controls	ComStock 90.1-2007|ComStock DEER 2011|ComStock DEER 1996|ComStock DEER 2007|ComStock 90.1-2013|ComStock DEER 1985|ComStock DEER 2015|ComStock DEER 2003|ComStock 90.1-2004|ComStock DOE Ref 1980-2004|ComStock DEER 2017|ComStock DEER 2014|ComStock 90.1-2010
in.energy_code_followed_during_last_hvac_replacement	metadata	string		Specifies the energy code used to determine HVAC system types, efficiencies, and controls	ComStock 90.1-2007|ComStock DEER 2011|ComStock DEER Pre-1975|ComStock DEER 2007|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 1985|ComStock DEER 2015|ComStock DEER 2003|ComStock DOE Ref Pre-1980|ComStock DOE Ref 1980-2004|ComStock 90.1-2004|ComStock DEER 2017|ComStock DEER 2014|ComStock 90.1-2010
in.energy_code_followed_during_last_int_equipment_replacement	metadata	string		Specifies the energy code used to determine interior equipment loads	ComStock 90.1-2007|ComStock DEER 1996|ComStock DEER 2011|ComStock DEER 2007|ComStock 90.1-2013|ComStock DEER 2003|ComStock DEER 2015|ComStock DEER 1985|ComStock DOE Ref 1980-2004|ComStock 90.1-2004|ComStock DEER 2017|ComStock 90.1-2010|ComStock DEER 2014
in.energy_code_followed_during_last_roof_replacement	metadata	string		Specifies the energy code used to determine roof insulation values	ComStock 90.1-2007|ComStock DEER Pre-1975|ComStock DEER 1996|ComStock DEER 2011|ComStock DEER 2007|ComStock 90.1-2013|ComStock DEER 2015|ComStock DEER 1985|ComStock DEER 2003|ComStock DOE Ref Pre-1980|ComStock DOE Ref 1980-2004|ComStock 90.1-2004|ComStock 90.1-2010|ComStock DEER 2014|ComStock DEER 2017
in.energy_code_followed_during_last_svc_water_htg_replacement	metadata	string		Specifies the energy code used to determine service water heating efficiencies	ComStock 90.1-2007|ComStock DEER 2011|ComStock DEER 2007|ComStock DEER Pre-1975|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 2015|ComStock DEER 2003|ComStock DEER 1985|ComStock 90.1-2004|ComStock DOE Ref 1980-2004|ComStock 90.1-2010|ComStock DEER 2017|ComStock DEER 2014
in.energy_code_followed_during_last_walls_replacement	metadata	string		Specifies the energy code used to determine wall insulation values	ComStock 90.1-2007|ComStock DEER 2007|ComStock DEER 2011|ComStock DEER Pre-1975|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 2015|ComStock DEER 2003|ComStock DEER 1985|ComStock DOE Ref Pre-1980|ComStock 90.1-2004|ComStock DOE Ref 1980-2004|ComStock DEER 2017|ComStock DEER 2014|ComStock 90.1-2010
in.energy_code_followed_during_original_building_construction	metadata	string		Specifies the date of contruction of the modeled building which impacts the assumed energy code year of building subsystems	ComStock 90.1-2007|ComStock DEER 1996|ComStock DEER 2007|ComStock DEER 2011|ComStock DEER Pre-1975|ComStock 90.1-2013|ComStock DEER 2003|ComStock DEER 1985|ComStock DEER 2015|ComStock DOE Ref Pre-1980|ComStock DOE Ref 1980-2004|ComStock 90.1-2004|ComStock DEER 2014|ComStock 90.1-2010|ComStock DEER 2017
in.floor_area_category	metadata	string		Specifies the rentable area range of the building	500001_1mil|over_1mil|_1000
in.heating_fuel	metadata	string		Building primary HVAC heating fuel source	NaturalGas|FuelOil|Electricity|Propane|DistrictHeating
in.hvac_category	metadata	string		A basic categorization of HVAC system typologies	Residential Style Central Systems|Multizone CAV/VAV|Zone-by-Zone|Other HVAC|Small Packaged Unit
