field_name	field_location	data_type	units	field_description	allowable_enumeration
out.electricity.interior_lighting.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.interior_lighting.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the interior lighting end use on a per area basis	""
out.electricity.pumps.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.pumps.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the pumps end use on a per area basis	""
out.electricity.refrigeration.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.refrigeration.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the refrigeration end use on a per area basis	""
out.electricity.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the total end use on a per area basis	""
out.electricity.water_systems.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.water_systems.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the water systems end use on a per area basis	""
out.natural_gas.cooling.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.natural_gas.cooling.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in natural gas energy for the cooling end use on a per area basis	""
out.natural_gas.heating.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.natural_gas.heating.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in natural gas energy for the heating end use on a per area basis	""
out.natural_gas.interior_equipment.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.natural_gas.interior_equipment.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in natural gas energy for the interior equipment end use on a per area basis	""
out.natural_gas.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.natural_gas.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in natural gas energy for the total end use on a per area basis	""
out.natural_gas.water_systems.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.natural_gas.water_systems.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in natural gas energy for the water systems end use on a per area basis	""
out.other_fuel.cooling.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.other_fuel.cooling.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in other fuel energy for the cooling end use on a per area basis	""
out.other_fuel.heating.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.other_fuel.heating.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in other fuel energy for the heating end use on a per area basis	""
out.other_fuel.interior_equipment.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.other_fuel.interior_equipment.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in other fuel energy for the interior equipment end use on a per area basis	""
out.other_fuel.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.other_fuel.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in other fuel energy for the total end use on a per area basis	""
out.other_fuel.water_systems.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.other_fuel.water_systems.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in other fuel energy for the water systems end use on a per area basis	""
out.site_energy.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.site_energy.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in site energy energy for the total end use on a per area basis	""
out.qoi.maximum_daily_peak_apr	metadata	float	kw	Maximum hourly daily electric load peak during April	""
out.qoi.maximum_daily_peak_aug	metadata	float	kw	Maximum hourly daily electric load peak during August	""
out.qoi.maximum_daily_peak_dec	metadata	float	kw	Maximum hourly daily electric load peak during December	""
out.qoi.maximum_daily_peak_feb	metadata	float	kw	Maximum hourly daily electric load peak during Febuary	""
out.qoi.maximum_daily_peak_jan	metadata	float	kw	Maximum hourly daily electric load peak during January	""
out.qoi.maximum_daily_peak_jul	metadata	float	kw	Maximum hourly daily electric load peak during July	""
out.qoi.maximum_daily_peak_jun	metadata	float	kw	Maximum hourly daily electric load peak during June	""
out.qoi.maximum_daily_peak_mar	metadata	float	kw	Maximum hourly daily electric load peak during March	""
out.qoi.maximum_daily_peak_may	metadata	float	kw	Maximum hourly daily electric load peak during May	""
out.qoi.maximum_daily_peak_nov	metadata	float	kw	Maximum hourly daily electric load peak during November	""
out.qoi.maximum_daily_peak_oct	metadata	float	kw	Maximum hourly daily electric load peak during October	""
out.qoi.maximum_daily_peak_sep	metadata	float	kw	Maximum hourly daily electric load peak during September	""
out.qoi.maximum_daily_timing_shoulder_hour	metadata	float	hr	Hour of average maximum daily electric load during shoulder season	""
out.qoi.maximum_daily_timing_summer_hour	metadata	float	hr	Hour of average maximum daily electric load during summer	""
out.qoi.maximum_daily_timing_winter_hour	metadata	float	hr	Hour of average maximum daily electric load during winter	""
out.qoi.maximum_daily_use_shoulder	metadata	float	kw	Average hourly maximum daily electric load during shoulder season	""
out.qoi.maximum_daily_use_shoulder_intensity	metadata	float	w_per_ft2	Average hourly maximum daily electric load during shoulder season on an area normalized basis	""
out.qoi.maximum_daily_use_summer	metadata	float	kw	Average hourly maximum daily electric load during summer	""
out.qoi.maximum_daily_use_summer_intensity	metadata	float	w_per_ft2	Average hourly maximum daily electric load during summer on an area normalized basis	""
out.qoi.maximum_daily_use_winter	metadata	float	kw	Average hourly maximum daily electric load during winter	""
out.qoi.maximum_daily_use_winter_intensity	metadata	float	w_per_ft2	Average hourly maximum daily electric load during winter on an area normalized basis	""
out.qoi.median_daily_peak_apr	metadata	float	kw	Median hourly daily electric load peak during April	""
out.qoi.median_daily_peak_aug	metadata	float	kw	Median hourly daily electric load peak during August	""
out.qoi.median_daily_peak_dec	metadata	float	kw	Median hourly daily electric load peak during December	""
out.qoi.median_daily_peak_feb	metadata	float	kw	Median hourly daily electric load peak during Febuary	""
out.qoi.median_daily_peak_jan	metadata	float	kw	Median hourly daily electric load peak during January	""
out.qoi.median_daily_peak_jul	metadata	float	kw	Median hourly daily electric load peak during July	""
out.qoi.median_daily_peak_jun	metadata	float	kw	Median hourly daily electric load peak during June	""
out.qoi.median_daily_peak_mar	metadata	float	kw	Median hourly daily electric load peak during March	""
out.qoi.median_daily_peak_may	metadata	float	kw	Median hourly daily electric load peak during May	""
out.qoi.median_daily_peak_nov	metadata	float	kw	Median hourly daily electric load peak during November	""
out.qoi.median_daily_peak_oct	metadata	float	kw	Median hourly daily electric load peak during October	""
out.qoi.median_daily_peak_sep	metadata	float	kw	Median hourly daily electric load peak during September	""
out.qoi.median_daily_peak_timing_apr	metadata	float	hr	Median hour of daily electric load peak during April	""
out.qoi.median_daily_peak_timing_aug	metadata	float	hr	Median hour of daily electric load peak during August	""
out.qoi.median_daily_peak_timing_dec	metadata	float	hr	Median hour of daily electric load peak during December	""
out.qoi.median_daily_peak_timing_feb	metadata	float	hr	Median hour of daily electric load peak during Febuary	""
out.qoi.median_daily_peak_timing_jan	metadata	float	hr	Median hour of daily electric load peak during January	""
out.qoi.median_daily_peak_timing_jul	metadata	float	hr	Median hour of daily electric load peak during July	""
out.qoi.median_daily_peak_timing_jun	metadata	float	hr	Median hour of daily electric load peak during June	""
out.qoi.median_daily_peak_timing_mar	metadata	float	hr	Median hour of daily electric load peak during March	""
out.qoi.median_daily_peak_timing_may	metadata	float	hr	Median hour of daily electric load peak during May	""
out.qoi.median_daily_peak_timing_nov	metadata	float	hr	Median hour of daily electric load peak during November	""
out.qoi.median_daily_peak_timing_oct	metadata	float	hr	Median hour of daily electric load peak during October	""
out.qoi.median_daily_peak_timing_sep	metadata	float	hr	Median hour of daily electric load peak during September	""
out.qoi.minimum_daily_peak_apr	metadata	float	kw	Minimum hourly daily electric load peak during April	""
out.qoi.minimum_daily_peak_aug	metadata	float	kw	Minimum hourly daily electric load peak during August	""
out.qoi.minimum_daily_peak_dec	metadata	float	kw	Minimum hourly daily electric load peak during December	""
out.qoi.minimum_daily_peak_feb	metadata	float	kw	Minimum hourly daily electric load peak during Febuary	""
out.qoi.minimum_daily_peak_jan	metadata	float	kw	Minimum hourly daily electric load peak during January	""
out.qoi.minimum_daily_peak_jul	metadata	float	kw	Minimum hourly daily electric load peak during July	""
out.qoi.minimum_daily_peak_jun	metadata	float	kw	Minimum hourly daily electric load peak during June	""
out.qoi.minimum_daily_peak_mar	metadata	float	kw	Minimum hourly daily electric load peak during March	""
out.qoi.minimum_daily_peak_may	metadata	float	kw	Minimum hourly daily electric load peak during May	""
out.qoi.minimum_daily_peak_nov	metadata	float	kw	Minimum hourly daily electric load peak during November	""
out.qoi.minimum_daily_peak_oct	metadata	float	kw	Minimum hourly daily electric load peak during October	""
out.qoi.minimum_daily_peak_sep	metadata	float	kw	Minimum hourly daily electric load peak during September	""
out.qoi.minimum_daily_use_shoulder	metadata	float	kw	Average hourly minimum daily electric load during shoulder season	""
out.qoi.minimum_daily_use_shoulder_intensity	metadata	float	w_per_ft2	Average hourly minimum daily electric load during shoulder season on an area normalized basis	""
out.qoi.minimum_daily_use_summer	metadata	float	kw	Average hourly minimum daily electric load during summer	""
out.qoi.minimum_daily_use_summer_intensity	metadata	float	w_per_ft2	Average hourly minimum daily electric load during summer on an area normalized basis	""
out.qoi.minimum_daily_use_winter	metadata	float	kw	Average hourly minimum daily electric load during winter	""
out.qoi.minimum_daily_use_winter_intensity	metadata	float	w_per_ft2	Average hourly minimum daily electric load during winter on an area normalized basis	""
out.qoi.q1_daily_peak_apr	metadata	float	kw	First quartile of hourly daily electric load peak during April	""
out.qoi.q1_daily_peak_aug	metadata	float	kw	First quartile of hourly daily electric load peak during August	""
out.qoi.q1_daily_peak_dec	metadata	float	kw	First quartile of hourly daily electric load peak during December	""
out.qoi.q1_daily_peak_feb	metadata	float	kw	First quartile of hourly daily electric load peak during Febuary	""
out.qoi.q1_daily_peak_jan	metadata	float	kw	First quartile of hourly daily electric load peak during January	""
out.qoi.q1_daily_peak_jul	metadata	float	kw	First quartile of hourly daily electric load peak during July	""
out.qoi.q1_daily_peak_jun	metadata	float	kw	First quartile of hourly daily electric load peak during June	""
out.qoi.q1_daily_peak_mar	metadata	float	kw	First quartile of hourly daily electric load peak during March	""
out.qoi.q1_daily_peak_may	metadata	float	kw	First quartile of hourly daily electric load peak during May	""
out.qoi.q1_daily_peak_nov	metadata	float	kw	First quartile of hourly daily electric load peak during November	""
out.qoi.q1_daily_peak_oct	metadata	float	kw	First quartile of hourly daily electric load peak during October	""
out.qoi.q1_daily_peak_sep	metadata	float	kw	First quartile of hourly daily electric load peak during September	""
out.qoi.q3_daily_peak_apr	metadata	float	kw	Third quartile of hourly daily electric load peak during April	""
out.qoi.q3_daily_peak_aug	metadata	float	kw	Third quartile of hourly daily electric load peak during August	""
out.qoi.q3_daily_peak_dec	metadata	float	kw	Third quartile of hourly daily electric load peak during December	""
out.qoi.q3_daily_peak_feb	metadata	float	kw	Third quartile of hourly daily electric load peak during Febuary	""
out.qoi.q3_daily_peak_jan	metadata	float	kw	Third quartile of hourly daily electric load peak during January	""
out.qoi.q3_daily_peak_jul	metadata	float	kw	Third quartile of hourly daily electric load peak during July	""
out.qoi.q3_daily_peak_jun	metadata	float	kw	Third quartile of hourly daily electric load peak during June	""
out.qoi.q3_daily_peak_mar	metadata	float	kw	Third quartile of hourly daily electric load peak during March	""
out.qoi.q3_daily_peak_may	metadata	float	kw	Third quartile of hourly daily electric load peak during May	""
out.qoi.q3_daily_peak_nov	metadata	float	kw	Third quartile of hourly daily electric load peak during November	""
out.qoi.q3_daily_peak_oct	metadata	float	kw	Third quartile of hourly daily electric load peak during October	""
out.qoi.q3_daily_peak_sep	metadata	float	kw	Third quartile of hourly daily electric load peak during September	""
out.emissions.electricity.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.cooling.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 aer_95_decarb_by_2035non-levelized values from 2023non-levelized values from 2023	""
out.emissions.electricity.cooling.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.cooling.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.cooling.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.cooling.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.cooling.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.cooling.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.cooling.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.cooling.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.cooling.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.cooling.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.cooling.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.cooling.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.cooling.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.cooling.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the cooling end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.enduse_group.hvac.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.enduse_group.hvac.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.enduse_group.hvac.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.enduse_group.hvac.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.enduse_group.hvac.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.enduse_group.hvac.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2018 state emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2019 state emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2020 state emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2021 state emissions intensity	""
out.emissions.electricity.enduse_group.hvac.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.enduse_group.hvac.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.enduse_group.hvac.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac enduse group, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.exterior_lighting.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.exterior_lighting.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.exterior_lighting.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.exterior_lighting.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.exterior_lighting.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.exterior_lighting.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2020 state emissions intensity	""
